month,year,cpi,month_lower,month_num
Январь ,2000,102.27,январь ,
Февраль,2000,101.9,февраль,2.0
Март,2000,100.79,март,3.0
Апрель,2000,100.93,апрель,4.0
Май,2000,100.94,май,5.0
Июнь,2000,101.67,июнь,6.0
Июль,2000,103.81,июль,7.0
Август,2000,101.05,август,8.0
Сентябрь,2000,101.51,сентябрь,9.0
Октябрь,2000,101.93,октябрь,10.0
Ноябрь,2000,101.7,ноябрь,11.0
Декабрь,2000,101.69,декабрь,12.0
Декабрь,2000,122.1,декабрь,12.0
Январь ,2001,101.99,январь ,
Февраль,2001,102.09,февраль,2.0
Март,2001,102.01,март,3.0
Апрель,2001,102.29,апрель,4.0
Май,2001,102.09,май,5.0
Июнь,2001,102.06,июнь,6.0
Июль,2001,100.1,июль,7.0
Август,2001,101.63,август,8.0
Сентябрь,2001,100.99,сентябрь,9.0
Октябрь,2001,100.83,октябрь,10.0
Ноябрь,2001,101.18,ноябрь,11.0
Декабрь,2001,101.45,декабрь,12.0
Декабрь,2001,120.36,декабрь,12.0
Январь ,2002,105.79,январь ,
Февраль,2002,100.89,февраль,2.0
Март,2002,100.7,март,3.0
Апрель,2002,100.78,апрель,4.0
Май,2002,102.18,май,5.0
Июнь,2002,100.52,июнь,6.0
Июль,2002,100.2,июль,7.0
Август,2002,100.08,август,8.0
Сентябрь,2002,100.62,сентябрь,9.0
Октябрь,2002,101.95,октябрь,10.0
Ноябрь,2002,101.31,ноябрь,11.0
Декабрь,2002,101.04,декабрь,12.0
Декабрь,2002,117.19,декабрь,12.0
Январь ,2003,102.17,январь ,
Февраль,2003,100.73,февраль,2.0
Март,2003,100.98,март,3.0
Апрель,2003,101.87,апрель,4.0
Май,2003,101.35,май,5.0
Июнь,2003,101.33,июнь,6.0
Июль,2003,100.43,июль,7.0
Август,2003,98.96,август,8.0
Сентябрь,2003,100.4,сентябрь,9.0
Октябрь,2003,100.33,октябрь,10.0
Ноябрь,2003,100.56,ноябрь,11.0
Декабрь,2003,100.89,декабрь,12.0
Декабрь,2003,110.43,декабрь,12.0
Январь ,2004,102.44,январь ,
Февраль,2004,100.32,февраль,2.0
Март,2004,100.65,март,3.0
Апрель,2004,101.72,апрель,4.0
Май,2004,100.57,май,5.0
Июнь,2004,100.63,июнь,6.0
Июль,2004,101.45,июль,7.0
Август,2004,99.91,август,8.0
Сентябрь,2004,100.4,сентябрь,9.0
Октябрь,2004,101.09,октябрь,10.0
Ноябрь,2004,100.96,ноябрь,11.0
Декабрь,2004,100.86,декабрь,12.0
Декабрь,2004,111.54,декабрь,12.0
Январь ,2005,103.25,январь ,
Февраль,2005,100.91,февраль,2.0
Март,2005,101.38,март,3.0
Апрель,2005,100.99,апрель,4.0
Май,2005,100.55,май,5.0
Июнь,2005,100.8,июнь,6.0
Июль,2005,100.68,июль,7.0
Август,2005,99.26,август,8.0
Сентябрь,2005,99.99,сентябрь,9.0
Октябрь,2005,100.48,октябрь,10.0
Ноябрь,2005,100.8,ноябрь,11.0
Декабрь,2005,100.85,декабрь,12.0
Декабрь,2005,110.37,декабрь,12.0
Январь ,2006,103.18,январь ,
Февраль,2006,100.97,февраль,2.0
Март,2006,100.9,март,3.0
Апрель,2006,100.47,апрель,4.0
Май,2006,100.44,май,5.0
Июнь,2006,100.39,июнь,6.0
Июль,2006,100.27,июль,7.0
Август,2006,100.06,август,8.0
Сентябрь,2006,100.14,сентябрь,9.0
Октябрь,2006,100.37,октябрь,10.0
Ноябрь,2006,100.68,ноябрь,11.0
Декабрь,2006,100.86,декабрь,12.0
