disease,year,cases
Все болезни,2020,8013110.0
некоторые инфекционные и паразитарные болезни,2020,219462.0
новообразования,2020,121483.0
"болезни крови, кроветворных органов 
и отдельные нарушения, вовлекающие иммунный механизм",2020,10427.0
"болезни эндокринной системы, расстройства питания и нарушения обмена веществ",2020,91663.0
болезни нервной системы,2020,97641.0
болезни глаза и его придаточного аппарата,2020,290706.0
болезни уха и сосцевидного отростка,2020,219677.0
болезни системы кровообращения,2020,155387.0
болезни органов дыхания,2020,3571403.0
болезни органов пищеварения,2020,182204.0
болезни кожи и подкожной клетчатки,2020,457588.0
"болезни костно-мышечной системы 
и соединительной ткани",2020,205033.0
болезни мочеполовой системы,2020,389475.0
"беременность, роды и послеродовой период",2020,197080.0
"врожденные аномалии (пороки развития), деформации и хромосомные нарушения",2020,13668.0
"травмы, отравления и некоторые другие последствия воздействия внешних причин",2020,963260.0
Все болезни,2020,618.1518139339983
некоторые инфекционные и паразитарные болезни,2020,16.929860365024705
новообразования,2020,9.371509540258888
"болезни крови, кроветворных органов 
и отдельные нарушения, вовлекающие иммунный механизм",2020,0.8043654665778704
"болезни эндокринной системы, расстройства питания и нарушения обмена веществ",2020,7.071118419768615
болезни нервной системы,2020,7.532276639697885
болезни глаза и его придаточного аппарата,2020,22.42580486496465
болезни уха и сосцевидного отростка,2020,16.94644601528981
болезни системы кровообращения,2020,11.986950873226773
болезни органов дыхания,2020,275.5071679709031
болезни органов пищеварения,2020,14.055682887921195
болезни кожи и подкожной клетчатки,2020,35.2995094581792
болезни костно-мышечной системы и соединительной ткани,2020,15.81677037583778
болезни мочеполовой системы,2020,30.045098311634803
"беременность, роды и послеродовой период2)",2020,62.8
"врожденные аномалии (пороки развития), деформации и хромосомные нарушения",2020,1.0543845015043956
"травмы, отравления и некоторые другие последствия воздействия внешних причин",2020,74.30834174122946
Все болезни,2021,9051391.0
некоторые инфекционные и паразитарные болезни,2021,236332.0
новообразования,2021,139645.0
"болезни крови, кроветворных органов 
и отдельные нарушения, вовлекающие иммунный механизм",2021,12884.0
"болезни эндокринной системы, расстройства питания и нарушения обмена веществ",2021,92132.0
болезни нервной системы,2021,109792.0
болезни глаза и его придаточного аппарата,2021,305668.0
болезни уха и сосцевидного отростка,2021,239773.0
болезни системы кровообращения,2021,148276.0
болезни органов дыхания,2021,3966417.0
болезни органов пищеварения,2021,179916.0
болезни кожи и подкожной клетчатки,2021,540428.0
"болезни костно-мышечной системы 
и соединительной ткани",2021,201536.0
болезни мочеполовой системы,2021,401418.0
"беременность, роды и послеродовой период",2021,221779.0
"врожденные аномалии (пороки развития), деформации и хромосомные нарушения",2021,17142.0
"травмы, отравления и некоторые другие последствия воздействия внешних причин",2021,1052174.0
Все болезни,2021,696.406984481051
некоторые инфекционные и паразитарные болезни,2021,18.183200290030097
новообразования,2021,10.744177701289932
"болезни крови, кроветворных органов 
и отдельные нарушения, вовлекающие иммунный механизм",2021,0.9912849404090336
"болезни эндокринной системы, расстройства питания и нарушения обмена веществ",2021,7.088564431059072
болезни нервной системы,2021,8.447311097282569
болезни глаза и его придаточного аппарата,2021,23.517858209014936
болезни уха и сосцевидного отростка,2021,18.4479481540434
болезни системы кровообращения,2021,11.408240129159411
болезни органов дыхания,2021,305.1730393885732
болезни органов пищеварения,2021,13.842597123457908
болезни кожи и подкожной клетчатки,2021,41.58011004155333
болезни костно-мышечной системы и соединительной ткани,2021,15.506023110080331
болезни мочеполовой системы,2021,30.884788746438485
"беременность, роды и послеродовой период2)",2021,71.2
"врожденные аномалии (пороки развития), деформации и хромосомные нарушения",2021,1.3188921490602028
"травмы, отравления и некоторые другие последствия воздействия внешних причин",2021,80.95344930843949
Все болезни,2022,9514695.0
некоторые инфекционные и паразитарные болезни,2022,259008.0
