indicator,year,value
Денежные доходы        (тыс.рублей),2014,8089881710.0
Потребительские расходы (тыс.рублей),2014,6995100946.0
Денежные доходы в расчете           на душу населения                   (рублей в месяц)3),2014,55670.48830544814
Потребительские расходы            в расчете на душу населения (рублей в месяц)3),2014,48136.758900733315
"Денежные доходы в расчете 
на душу населения, в %                       к соответствующему периоду3)",2014,99.17226830663616
"Потребительские расходы 
в расчете на душу населения, 
в %  к соответствующему периоду3)",2014,107.37855383926572
Реальные денежные доходы в % к соответствующему периоду,2014,92.71640645872202
"Реальные располагаемые денежные доходы в % 
к соответствующему периоду",2014,91.4
Денежные доходы        (тыс.рублей),2015,8908736668.0
Потребительские расходы (тыс.рублей),2015,7104709286.0
Денежные доходы в расчете           на душу населения                   (рублей в месяц)3),2015,60465.18306553436
Потребительские расходы            в расчете на душу населения (рублей в месяц)3),2015,48220.927794224925
"Денежные доходы в расчете 
на душу населения, в %                       к соответствующему периоду3)",2015,108.61263284377728
"Потребительские расходы 
в расчете на душу населения, 
в %  к соответствующему периоду3)",2015,100.17485367817385
Реальные денежные доходы в % к соответствующему периоду,2015,94.41993015504173
"Реальные располагаемые денежные доходы в % 
к соответствующему периоду",2015,94.9
Денежные доходы        (тыс.рублей),2016,9193008301.0
Потребительские расходы (тыс.рублей),2016,7123740014.0
Денежные доходы в расчете           на душу населения                   (рублей в месяц)3),2016,61649.02074511489
Потребительские расходы            в расчете на душу населения (рублей в месяц)3),2016,47772.34863177253
"Денежные доходы в расчете 
на душу населения, в %                       к соответствующему периоду3)",2016,101.95788323058154
"Потребительские расходы 
в расчете на душу населения, 
в %  к соответствующему периоду3)",2016,99.0697417429075
Реальные денежные доходы в % к соответствующему периоду,2016,95.7155463679098
"Реальные располагаемые денежные доходы в % 
к соответствующему периоду",2016,95.3
Денежные доходы        (тыс.рублей),2017,9776264782.0
Потребительские расходы (тыс.рублей),2017,7625711258.0
Денежные доходы в расчете           на душу населения                   (рублей в месяц)3),2017,64805.020404941395
Потребительские расходы            в расчете на душу населения (рублей в месяц)3),2017,50549.40559576196
"Денежные доходы в расчете 
на душу населения, в %                       к соответствующему периоду3)",2017,105.11930217492804
"Потребительские расходы 
в расчете на душу населения, 
в %  к соответствующему периоду3)",2017,105.81310537062951
Реальные денежные доходы в % к соответствующему периоду,2017,101.51256816972662
"Реальные располагаемые денежные доходы в % 
к соответствующему периоду",2017,101.1187341609794
Денежные доходы        (тыс.рублей),2018,10539984590.0
Потребительские расходы (тыс.рублей),2018,8391132490.0
Денежные доходы в расчете           на душу населения                   (рублей в месяц)3),2018,68914.9649810774
Потребительские расходы            в расчете на душу населения (рублей в месяц)3),2018,54864.84323679444
"Денежные доходы в расчете 
на душу населения, в %                       к соответствующему периоду3)",2018,106.34201571182996
"Потребительские расходы 
в расчете на душу населения, 
в %  к соответствующему периоду3)",2018,108.53706901232938
Реальные денежные доходы в % к соответствующему периоду,2018,104.1
"Реальные располагаемые денежные доходы в % 
к соответствующему периоду",2018,103.0
Денежные доходы        (тыс.рублей),2019,11517283461.0
Потребительские расходы (тыс.рублей),2019,8945465096.0
Денежные доходы в расчете           на душу населения                   (рублей в месяц)3),2019,74475.22497146319
Потребительские расходы            в расчете на душу населения (рублей в месяц)3),2019,57844.84941450347
"Денежные доходы в расчете 
на душу населения, в %                       к соответствующему периоду3)",2019,108.06829110616616
"Потребительские расходы 
в расчете на душу населения, 
в %  к соответствующему периоду3)",2019,105.4315404946068
Реальные денежные доходы в % к соответствующему периоду,2019,104.6
"Реальные располагаемые денежные доходы в % 
к соответствующему периоду",2019,103.82
Денежные доходы        (тыс.рублей),2020,11872014626.0
Потребительские расходы (тыс.рублей),2020,7984112493.0
Денежные доходы в расчете           на душу населения                   (рублей в месяц)3),2020,76319.79930771752
Потребительские расходы            в расчете на душу населения (рублей в месяц)3),2020,51326.23933571616
"Денежные доходы в расчете 
на душу населения, в %                       к соответствующему периоду3)",2020,102.4767623554828
"Потребительские расходы 
в расчете на душу населения, 
в %  к соответствующему периоду3)",2020,88.73087207457938
Реальные денежные доходы в % к соответствующему периоду,2020,100.2
"Реальные располагаемые денежные доходы в % 
к соответствующему периоду",2020,99.38
Денежные доходы        (тыс.рублей),2021,13483906823.1979
Потребительские расходы (тыс.рублей),2021,9579691644.0
Денежные доходы в расчете           на душу населения                   (рублей в месяц)3),2021,86453.44206974098
Потребительские расходы            в расчете на душу населения (рублей в месяц)3),2021,61421.16876526089
"Денежные доходы в расчете 
на душу населения, в %                       к соответствующему периоду3)",2021,113.27786872337693
"Потребительские расходы 
в расчете на душу населения, 
в %  к соответствующему периоду3)",2021,119.66816497798628
Реальные денежные доходы в % к соответствующему периоду,2021,107.6
"Реальные располагаемые денежные доходы в % 
к соответствующему периоду",2021,105.4
Денежные доходы        (тыс.рублей),2022,16007497264.0
Потребительские расходы (тыс.рублей),2022,10520468931.0
Денежные доходы в расчете           на душу населения                   (рублей в месяц)3),2022,102143.0
Потребительские расходы            в расчете на душу населения (рублей в месяц)3),2022,67131.0
"Денежные доходы в расчете 
на душу населения, в %                       к соответствующему периоду3)",2022,118.1
"Потребительские расходы 
в расчете на душу населения, 
в %  к соответствующему периоду3)",2022,109.3
Реальные денежные доходы в % к соответствующему периоду,2022,105.1
"Реальные располагаемые денежные доходы в % 
к соответствующему периоду",2022,106.97
Денежные доходы        (тыс.рублей),2023,18446489969.0
Потребительские расходы (тыс.рублей),2023,12294879360.0
Денежные доходы в расчете           на душу населения                   (рублей в месяц)3),2023,117103.0
Потребительские расходы            в расчете на душу населения (рублей в месяц)3),2023,78051.0
"Денежные доходы в расчете 
на душу населения, в %                       к соответствующему периоду3)",2023,114.6
"Потребительские расходы 
в расчете на душу населения, 
в %  к соответствующему периоду3)",2023,116.3
Реальные денежные доходы в % к соответствующему периоду,2023,108.8
"Реальные располагаемые денежные доходы в % 
к соответствующему периоду",2023,108.9
Денежные доходы        (тыс.рублей),20242),22699017004.0
Потребительские расходы (тыс.рублей),20242),14336212094.0
Денежные доходы в расчете           на душу населения                   (рублей в месяц)3),20242),143171.2
Потребительские расходы            в расчете на душу населения (рублей в месяц)3),20242),90423.9
"Денежные доходы в расчете 
на душу населения, в %                       к соответствующему периоду3)",20242),122.3
"Потребительские расходы 
в расчете на душу населения, 
в %  к соответствующему периоду3)",20242),115.9
Реальные денежные доходы в % к соответствующему периоду,20242),112.9
"Реальные располагаемые денежные доходы в % 
к соответствующему периоду",20242),111.7
